ID,Descripcin
M0724001,"YARIS_NCP92L-BEPRK_1,000KM"
M1215045,"HILUX_GUN126L-DTFSHF_45,000 KM."
PACK_TAL_01,PACK_TAL_01.
PACK_TAL_02,PACK_TAL_02
PREV_1000 MINA,PREVENTIVO MINA
INSP_ENTREGA,INSPECCION POR ENTREGA
INSP_ENTREGA_COR,INSPECCION ENTREGA COROLLA
M1223055,"YARIS_NSP150L-BEMRK_55,000 KM"
M1215001,"HILUX_GUN126L-DTFSHF_1,000 KM"
PREV_1000,PREV_1000 P001
M0937090,"YARIS_NCP151L-BEPDK_90,000 KM"
M0562005,"COROLLA_ZRE172L-DEFNK_5,000 KM"
M0936145,"YARIS_NCP151L-BEMDK_145,000 KM"
M0936150,"YARIS_NCP151L-BEMDK_150,000 KM"
M0937005,"YARIS_NCP151L-BEPDK_5,000 KM"
M0937035,"YARIS_NCP151L-BEPDK_35,000 KM"
M0937055,"YARIS_NCP151L-BEPDK_55,000 KM"
M0937060,"YARIS_NCP151L-BEPDK_60,000 KM"
M0937070,"YARIS_NCP151L-BEPDK_70,000 KM"
M0937075,"YARIS_NCP151L-BEPDK_75,000 KM"
M0937085,"YARIS_NCP151L-BEPDK_85,000 KM"
M1120065,"RAV4_ASA42L-ANFXK_65,000 KM"
M1120080,"RAV4_ASA42L-ANFXK_80,000 KM"
M1120085,"RAV4_ASA42L-ANFXK_85,000 KM"
M1120105,"RAV4_ASA42L-ANFXK_105,000 KM"
M1120130,"RAV4_ASA42L-ANFXK_130,000 KM"
M1120140,"RAV4_ASA42L-ANFXK_140,000 KM"
M1120150,"RAV4_ASA42L-ANFXK_150,000 KM"
M1121001,"RAV4_ASA42L-ANTXK_1,000 KM"
M1121040,"RAV4_ASA42L-ANTXK_40,000 KM"
M1121045,"RAV4_ASA42L-ANTXK_45,000 KM"
M0937100,"YARIS_NCP151L-BEPDK_100,000 KM"
M0937105,"YARIS_NCP151L-BEPDK_105,000 KM"
M0937120,"YARIS_NCP151L-BEPDK_120,000 KM"
M0937125,"YARIS_NCP151L-BEPDK_125,000 KM"
M0937135,"YARIS_NCP151L-BEPDK_135,000 KM"
M0937145,"YARIS_NCP151L-BEPDK_145,000 KM"
M0937150,"YARIS_NCP151L-BEPDK_150,000 KM"
M1120005,"RAV4_ASA42L-ANFXK_5,000 KM"
M1120015,"RAV4_ASA42L-ANFXK_15,000 KM"
M1120025,"RAV4_ASA42L-ANFXK_25,000 KM"
M1120050,"RAV4_ASA42L-ANFXK_50,000 KM"
M1120060,"RAV4_ASA42L-ANFXK_60,000 KM"
M1121065,"RAV4_ASA42L-ANTXK_65,000 KM"
M1121090,"RAV4_ASA42L-ANTXK_90,000 KM"
M1121105,"RAV4_ASA42L-ANTXK_105,000 KM"
M1121120,"RAV4_ASA42L-ANTXK_120,000 KM"
M1121125,"RAV4_ASA42L-ANTXK_125,000 KM"
M1121135,"RAV4_ASA42L-ANTXK_135,000 KM"
M1121150,"RAV4_ASA42L-ANTXK_150,000 KM"
M1079035,"NX_KATASHIKI_30,000KMetros"
M0787160,"HILUX_KUN25L-HRMDH_160,000 KM"
M0937155,"YARIS_NCP151L-BEPDK_155,000 KM"
M1121155,"RAV4_ASA42L-ANTXK_155,000 KM"
M1121160,"RAV4_ASA42L-ANTXK_160,000 KM"
M0562010,"COROLLA_ZRE172L-DEFNK_10,000 KM"
PREV_25000,PREV_25000
M0562145,"COROLLA_ZRE172L-DEFNK_145,000 KM"
M0563001,"COROLLA_ZRE172L-DEXNK_1,000 KM"
M0563005,"COROLLA_ZRE172L-DEXNK_5,000 KM"
M0563020,"COROLLA_ZRE172L-DEXNK_20,000 KM"
M0563035,"COROLLA_ZRE172L-DEXNK_35,000 KM"
M0563040,"COROLLA_ZRE172L-DEXNK_40,000 KM"
M0563060,"COROLLA_ZRE172L-DEXNK_60,000 KM"
M0563065,"COROLLA_ZRE172L-DEXNK_65,000 KM"
M0563075,"COROLLA_ZRE172L-DEXNK_75,000 KM"
M0563090,"COROLLA_ZRE172L-DEXNK_90,000 KM"
M0563095,"COROLLA_ZRE172L-DEXNK_95,000 KM"
M0563110,"COROLLA_ZRE172L-DEXNK_110,000 KM"
M0563115,"COROLLA_ZRE172L-DEXNK_115,000 KM"
M0563120,"COROLLA_ZRE172L-DEXNK_120,000 KM"
M0563135,"COROLLA_ZRE172L-DEXNK_135,000 KM"
M0563145,"COROLLA_ZRE172L-DEXNK_145,000 KM"
M0563150,"COROLLA_ZRE172L-DEXNK_150,000 KM"
M0775001,"HILUX_TGN26L-PRMDKG_1,000 KM"
M0775015,"HILUX_TGN26L-PRMDKG_15,000 KM"
M0775020,"HILUX_TGN26L-PRMDKG_20,000 KM"
M0775025,"HILUX_TGN26L-PRMDKG_25,000 KM"
M0775030,"HILUX_TGN26L-PRMDKG_30,000 KM"
M0775035,"HILUX_TGN26L-PRMDKG_35,000 KM"
M0775040,"HILUX_TGN26L-PRMDKG_40,000 KM"
M0775045,"HILUX_TGN26L-PRMDKG_45,000 KM"
M0775055,"HILUX_TGN26L-PRMDKG_55,000 KM"
M0775065,"HILUX_TGN26L-PRMDKG_65,000 KM"
M0775070,"HILUX_TGN26L-PRMDKG_70,000 KM"
M0775080,"HILUX_TGN26L-PRMDKG_80,000 KM"
M0775090,"HILUX_TGN26L-PRMDKG_90,000 KM"
M0775095,"HILUX_TGN26L-PRMDKG_95,000 KM"
M0775105,"HILUX_TGN26L-PRMDKG_105,000 KM"
M0775110,"HILUX_TGN26L-PRMDKG_110,000 KM"
M0775135,"HILUX_TGN26L-PRMDKG_135,000 KM"
M0775145,"HILUX_TGN26L-PRMDKG_145,000 KM"
M0787010,"HILUX_KUN25L-HRMDH_10,000 KM"
M0787020,"HILUX_KUN25L-HRMDH_20,000 KM"
M0787025,"HILUX_KUN25L-HRMDH_25,000 KM"
M0787030,"HILUX_KUN25L-HRMDH_30,000 KM"
M0787035,"HILUX_KUN25L-HRMDH_35,000 KM"
M0787060,"HILUX_KUN25L-HRMDH_60,000 KM"
M0787070,"HILUX_KUN25L-HRMDH_70,000 KM"
M0787095,"HILUX_KUN25L-HRMDH_95,000 KM"
M0787100,"HILUX_KUN25L-HRMDH_100,000 KM"
M0787130,"HILUX_KUN25L-HRMDH_130,000 KM"
M0787110,"HILUX_KUN25L-HRMDH_110,000 KM"
M0787115,"HILUX_KUN25L-HRMDH_115,000 KM"
M0787120,"HILUX_KUN25L-HRMDH_120,000 KM"
M0787135,"HILUX_KUN25L-HRMDH_135,000 KM"
M0787145,"HILUX_KUN25L-HRMDH_145,000 KM"
M0936010,"YARIS_NCP151L-BEMDK_10,000 KM"
M0936025,"YARIS_NCP151L-BEMDK_25,000 KM"
M0936030,"YARIS_NCP151L-BEMDK_30,000 KM"
M0936045,"YARIS_NCP151L-BEMDK_45,000 KM"
M0936055,"YARIS_NCP151L-BEMDK_55,000 KM"
M0936060,"YARIS_NCP151L-BEMDK_60,000 KM"
M0936065,"YARIS_NCP151L-BEMDK_65,000 KM"
M0936070,"YARIS_NCP151L-BEMDK_70,000 KM"
M0936075,"YARIS_NCP151L-BEMDK_75,000 KM"
M0936100,"YARIS_NCP151L-BEMDK_100,000 KM"
M1223075,"YARIS_NSP150L-BEMRK_75,000 KM"
M0562972,"COROLLA_ZRE172L-DEFNK_1,000 KM"
PAQ-PRUEBAII,PAQ-Prueba II
AA_PAQ_5000,AA_PAQ_5000
M0732005,"""YARIS_NCP92L-BEMRK_5,000KM"""
M0732020,"YARIS_NCP92L-BEMRK_20,000 KM"
M0732035,"""YARIS_NCP92L-BEMRK_35,000KM"""
M0724035,"YARIS_NCP92L-BEPRK_35,000KM"
RQ724035,"YARIS_NCP92L-BEPRK_35,000KM"
M0936105,"YARIS_NCP151L-BEMDK_105,000 KM"
M0936120,"YARIS_NCP151L-BEMDK_120,000 KM"
M1223001,"YARIS_NSP150L-BEMRK_1,000 KM"
M1215010,"HILUX_GUN126L-DTFSHF_10,000 KM"
M1215020,"HILUX_GUN126L-DTFSHF_20,000 KM"
M1215030,"HILUX_GUN126L-DTFSHF_30,000 KM"
M1215035,"HILUX_GUN126L-DTFSHF_35,000 KM"
M1215040,"HILUX_GUN126L-DTFSHF_40,000 KM"
